id_pelicula,department,id_y,job,name
11523,Directing,81727,Director,Darnell Martin
2525,Directing,56106,Director,Charles Shyer
40718,Directing,74823,Script Supervisor,Sioux Richards
17995,Directing,41550,Director,Andrew Bergman
9506,Directing,7775,Director,Stephen Sommers
10514,Directing,226963,Director,Ray Müller
12661,Directing,15812,Director,Roger Allers
24961,Directing,18898,Director,Rob Minkoff
18736,Directing,1447436,Layout,Jennifer Yuan
36658,Directing,1447483,Layout,Rick Moore
10989,Directing,4956,Director,Bernardo Bertolucci
117269,Directing,5140,Director,Wes Craven
5146,Directing,553772,Script Supervisor,Gretchen Oehler
43361,Directing,26713,Director,Chuck Russell
32328,Directing,7187,Director,Richard Donner
38800,Directing,72427,Director,Alan Rudolph
37662,Directing,13426,Director,Peter Segal
42640,Directing,6159,Director,Ron Howard
40085,Directing,7399,Director,Ben Stiller
30708,Directing,21053,Director,John Dahl
43516,Directing,18281,Director,Donald Petrie
18300,Directing,1481828,Script Supervisor,Mary J. Carlson
185465,Directing,83588,Director,Robert Allan Ackerman
39088,Directing,323,Director,Curtis Hanson
42511,Directing,2209,Director,Jan de Bont
47676,Directing,33485,Director,Ron Underwood
44736,Directing,37710,Director,Peter Hyams
20645,Directing,1384398,Script Supervisor,Christine Wilson
70912,Directing,2710,Director,James Cameron
24259,Directing,46085,Director,Luis Mandoki
47232,Directing,5342,Director,Mike Nichols
48967,Directing,1395373,Script Supervisor,Mary Bailey
17180,Directing,8844,Director,Lawrence Kasdan
6466,Directing,42301,Director,Damian Harris
2055,Directing,158634,Director,Suri Krishnamma
54986,Directing,72125,Director,Jefery Levy
26225,Directing,1399029,Script Supervisor,Sarah Auerswald
35072,Directing,35689,Director,Keenen Ivory Wayans
44585,Directing,133183,Director,Robert Lee King
9051,Directing,1066114,Director,Brian Sloan
19542,Directing,1087439,Director,Raoul O'Connell
33521,Directing,234793,Director,Yves Angelo
4593,Directing,4590,Director,Russ Meyer
38304,Directing,67896,Director,Doug McHenry
124839,Directing,80537,Director,Dave Borthwick
19433,Directing,1726,Director,Steven E. de Souza
30246,Directing,486,Director,Wallace Wolodarsky
112961,Directing,126837,Director,Michael A. Nickles
2722,Directing,1142481,Director,Paul Warner
9616,Directing,532207,Director,Vincent Robert
15136,Directing,129216,Director,Theodore Thomas
61054,Directing,1382436,Director,Lucas Platt
14603,Directing,1385254,Director,Ross Kagan Marks
10617,Directing,220152,Director,Paul Williams
10618,Directing,4040,Director,Robert Wuhl
11293,Directing,16401,Director,Roberto Sneider
36759,Directing,223910,Director,Jack Baxter
38960,Directing,1410160,Director,Jefri Aalmuhammed
19383,Directing,53599,Director,Andrew Morahan
14030,Directing,77076,Director,Michael Corrente
16323,Directing,11770,Director,John Carpenter
43041,Directing,16513,Director,John G. Avildsen
28942,Directing,88060,Director,Jeff Pollack
37025,Directing,5174,Director,Barry Sonnenfeld
7288,Directing,15106,Director,Thomas Schlamme
10934,Directing,1032,Director,Martin Scorsese
37672,Directing,7145,Director,Michael Lehmann
11703,Directing,1341815,Script Supervisor,Sydney Gilner
12531,Directing,12988,Director,Paul Michael Glaser
25237,Directing,12840,Director,John Badham
33258,Directing,42171,Director,Jonathan Kaplan
36855,Directing,78188,Director,Whit Stillman
33783,Directing,68687,Director,Bill Forsyth
14874,Directing,58448,Director,Penelope Spheeris
62124,Directing,4610,Director,John Landis
1584,Directing,1901,Director,Caroline Thompson
11329,Directing,10781,Director,Michael Apted
9373,Directing,2042,Director,Stephen Hopkins
14157,Directing,15175,Director,William Friedkin
31206,Directing,32765,Director,Tony Richardson
10922,Directing,39104,Director,Abel Ferrara
197563,Directing,14800,Director,Jennifer Chambers Lynch
36068,Directing,380,Director,Robert De Niro
5143,Directing,18127,Script Supervisor,Sheila Paige
10804,Directing,57107,Director,Adam Resnick
2007,Directing,61175,Director,John Whitesell
3112,Directing,1150,Director,Brian De Palma
29437,Directing,52991,Assistant Director,Sam Hoffman
11986,Directing,1467275,Script Supervisor,Lynne Twentyman
1626,Directing,1475003,Assistant Director,Chris Soldo
20325,Directing,66548,Director,Paul Weiland
12545,Directing,8843,Director,Mick Jackson
31509,Directing,16938,Director,Renny Harlin
30140,Directing,18308,Director,Steve Barron
18857,Directing,21806,Director,Richard Rush
16814,Directing,12964,Director,Michael Ritchie
25431,Directing,27236,Director,Gregg Champion
10511,Directing,1467275,Script Supervisor,Lynne Twentyman
180399,Directing,39104,Director,Abel Ferrara
10028,Directing,8858,Director,Ivan Reitman
9620,Directing,1535427,Script Supervisor,Karen Hale Wookey
26710,Directing,564,Director,Richard Linklater
427,Directing,57027,First Assistant Director,Louis D'Esposito
43049,Directing,58838,Director,Marco Brambilla
29493,Directing,1422074,Script Supervisor,P.R. Tooke
43376,Directing,86,Director,Bruce Brown
28963,Directing,5216,Director,Gus Van Sant
9384,Directing,1895,Director,Carl Reiner
29084,Directing,20640,Director,Chen Kaige
43323,Directing,18281,Director,Donald Petrie
10433,Directing,1342629,Script Supervisor,Susan Bierbaum
58995,Directing,2690,Director,Peter Weir
13700,Directing,1371069,Script Supervisor,Julie Pitkanen
10733,Directing,141825,Director,Rusty Cundieff
3591,Directing,50949,Director,Alek Keshishian
78364,Directing,10967,Director,Steve Kloves
33839,Directing,17784,Director,John Irvin
111883,Directing,5174,Director,Barry Sonnenfeld
4365,Directing,2226,Director,Sydney Pollack
11141,Directing,18254,Director,Simon Wincer
42015,Directing,52358,Director,Boaz Yakin
18329,Directing,12989,Director,Andrew Davis
28290,Directing,1723,Director,Walter Hill
118617,Directing,10956,First Assistant Director,Josh McLaglen
17956,Directing,1424319,Script Supervisor,Paula Barrett-Barbier
27171,Directing,21370,Director,Roger Donaldson
