id_original,name
10552,Lewis Teague
105526,Travis Fine
105528,Timothy Armstrong
105529,Mauro Bolognini
10553,Guy Hamilton
105531,Bradley Rust Gray
105536,Sidney Salkow
105538,Madeleine Olnek
105539,Josef von Sternberg
105548,Frank Borzage
105549,Julien Duvivier
10555,"Vicky Jenson,Bibo Bergeron,Rob Letterman"
105551,Mitchell Leisen
105554,"Noël Burch,Allan Sekula"
105561,Brian Malone
105567,Cameron Crowe
10557,Damien O'Donnell
105572,Jacques Demy
105576,Jean-Pierre Blanc
105583,Jonas Mekas
105584,Carlos Saura
105586,Alex Rotaru
10559,Gregory Hoblit
105593,Sara Driver
10560,Nicholas Hytner
105616,Luigi Magni
10562,Stephen Hopkins
105627,Jaromil Jireš
10563,Damon Santostefano
10564,Matt Williams
10565,Lars Becker
10567,"Ralph Zondag,Eric Leighton"
105672,Giuseppe Rosati
105676,John Duigan
105678,Julie Benasra
10568,Zoltan Korda
105680,Pang Ho-cheung
105687,Alberto Lattuada
10569,Woody Allen
105693,Francesco Maselli
10570,Dick Maas
105703,Hou Hsiao-hsien
10571,Robert Iscove
105711,Maya Deren
10572,Louis-Pascal Couvelaire
10573,Bakhtyar Khudojnazarov
105734,Hans Alfredson
105737,Hans Alfredson
10574,Helmut Käutner
10575,Tom Tykwer
105757,Rainer Werner Fassbinder
105759,"Philip Sansom,Olly Williams"
